Entidad,Municipio,Indicador,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Jalisco,Ameca,Vehiculos de motor registrados en circulacion,1762,2193,2529,2804,2944,2968,3117,3209,3363,3548,4474,4908,5299,18464,8807,9580,9915,10258,10433,9728,10875,12657,12229,13985,15165,15928,17611,18854,20179,20972,21467,22735,23946,24884,25897,26232,26720,28118,31031,32723,34425,36490,38251,40589
Jalisco,Arandas,Vehículos de motor registrados en circulación,2000,2135,2814,3009,5614,4528,4749,5261,5606,6092,7290,8009,8582,13493,13060,14898,15583,13272,13454,20683,18148,20369,23882,24033,26845,27103,28326,30274,32926,33476,25649,26535,28083,29110,30366,37416,39302,41209,44365,47378,49638,52828,56608,60227
Jalisco,Atotonilco el Alto,Vehículos de motor registrados en circulación,1826,1967,2352,2570,2702,2937,3091,3395,3743,3932,4635,5090,5467,6527,6660,6828,7862,8246,9607,8053,9472,11525,14609,14046,13988,14489,15520,17224,18452,18922,19345,19611,19888,20191,21537,21637,21735,22115,29352,31378,33079,35051,37164,39199
Jalisco,Chapala,Vehículos de motor registrados en circulación,848,1049,1385,1554,1944,2053,2143,2598,2717,2914,4711,5178,5497,6168,5540,6881,7318,7487,5846,6154,5899,7348,8453,8845,9930,9724,11674,13250,14530,14774,15604,15840,18108,18811,21912,23658,24552,25308,24030,25471,26538,27839,29179,30725
Jalisco,Cihuatlan,Vehículos de motor registrados en circulación,1223,1481,1684,1795,2096,2243,2366,2577,3002,3029,3398,3720,4058,4626,4283,5002,5188,5429,4184,4403,5290,5804,5232,6044,6427,6992,8259,8943,10014,10422,10918,11482,11947,12376,13118,13699,14438,15316,16867,18135,19061,19745,21000,22446
Jalisco,Cocula,Vehículos de motor registrados en circulación,629,727,871,959,1219,1335,1568,1649,1746,1880,1949,2140,2298,3642,3739,3853,3886,3998,4012,3373,3957,4638,5371,5897,6230,6634,6634,7512,8064,8019,8306,8674,8906,9430,10035,10796,11354,11832,12564,13136,13752,14588,15478,16354
Jalisco,Colotlan,Vehículos de motor registrados en circulación,0,0,0,0,0,0,0,0,0,0,0,0,0,2653,2700,2803,2765,2848,2639,2708,3098,3302,3526,3610,4207,4350,4866,5340,5752,5843,5846,5924,5941,5529,5820,6458,6616,6853,7057,7295,7483,7713,7931,8337
Jalisco,EL Arenal,Vehículos de motor registrados en circulación,0,0,0,0,0,0,0,0,0,0,0,0,0,1867,2060,2036,2053,2078,2113,2206,2550,2861,2955,3073,3176,3405,3761,4148,4402,4786,5006,5123,5172,5398,5911,6129,6494,6995,7731,8298,8833,9521,10458,11059
Jalisco,El Salto,Vehículos de motor registrados en circulación,595,769,997,1056,1292,1447,1515,1851,2324,2482,3033,3333,3567,6576,7777,8294,8297,8967,9831,10621,12053,13290,14273,15949,16869,17421,18210,19320,19706,19409,18721,18029,16953,15989,16490,17307,18472,19501,54409,58007,61095,64730,69475,75933
Jalisco,Guadalajara,Vehículos de motor registrados en circulación,270513,288073,296529,311369,338903,353225,367614,379369,397051,425570,436995,480351,508722,634293,659207,628746,593272,400559,419436,416853,475897,485498,593923,625075,657258,688064,738535,776178,807337,818127,834032,853660,873217,822065,858705,888803,924007,953027,954293,982470,1001932,1016136,1042028,1083269
Jalisco,Ixtlahuacán de los Membrillos,Vehículos de motor registrados en circulación,0,0,0,0,0,0,0,0,0,0,0,0,0,3374,3344,3589,3371,3512,3377,3383,3372,4230,4600,4714,5314,5447,5718,6338,6104,6570,6615,6947,7642,8074,8493,10885,11790,12728,13729,14630,15397,16425,17370,18696
Jalisco,Jalostotitlan,Vehículos de motor registrados en circulación,0,0,0,0,0,0,0,0,0,0,0,0,0,4194,4532,4519,4669,4760,4045,4157,5350,6153,7225,7705,8019,8090,8961,9833,10742,10786,11010,11660,12036,12464,12927,13427,13727,14111,15963,16638,17343,18053,18783,19946
Jalisco,Jamay,Vehículos de motor registrados en circulación,0,0,0,0,0,0,0,0,0,0,0,0,0,2511,2997,2737,2851,2870,2883,2973,3447,3946,3835,3517,3749,4519,5252,5573,5927,6185,6468,6833,7125,7027,7492,8011,8528,7924,9509,10119,10592,11123,11654,12284
Jalisco,Jocotepec,Vehículos de motor registrados en circulación,700,793,971,1048,1407,1483,1557,1897,2095,2235,2466,2709,2906,4429,5234,4682,4769,4956,4328,4509,4420,4981,5790,6724,7452,7553,7552,9458,10266,11606,11997,13009,13739,13335,13881,14323,14477,15175,17633,18953,20004,21314,22590,23870
Jalisco,Juanacatlan,Vehículos de motor registrados en circulación,0,0,0,0,0,0,0,0,0,0,0,0,0,1913,1859,2107,2210,2281,1792,1903,2265,2709,3175,3009,3297,3574,4101,4567,4890,5195,5607,6037,6448,6027,6347,6782,7264,8044,8690,9302,9884,10607,11413,12446
Jalisco,La Barca,Vehículos de motor registrados en circulación,2287,2757,3231,3420,3932,4268,4473,4717,5076,5461,5787,6358,6810,6636,7324,6902,7455,7788,7557,7615,8642,9955,10133,10809,12192,13539,14567,16490,17526,17000,17432,18520,19138,19395,19777,20290,21030,22092,26303,27365,28110,28920,29795,30652
Jalisco,Lagos de Moreno,Vehículos de motor registrados en circulación,3988,4324,5038,5542,6506,6857,7215,7513,8067,8207,9779,10695,11691,11955,15449,15064,16408,17466,11484,12646,13850,15354,17489,20839,23293,25278,28480,31939,34612,37225,38765,40333,40844,42553,44113,46009,48328,50957,54463,57649,59658,62702,65206,69509
Jalisco,Mazamitla,Vehículos de motor registrados en circulación,0,0,0,0,0,0,0,0,0,0,0,0,0,1981,2010,2252,2079,2409,2409,2624,3046,3395,4001,3991,4144,4261,4659,5025,5332,5426,5353,5617,5762,5895,6233,6388,6728,6895,7690,8007,8284,8601,8926,9193
Jalisco,Ocotlan,Vehículos de motor registrados en circulación,4338,4510,5540,5774,6660,6927,7256,7012,7100,,7716,8469,9076,0,13839,19079,22071,13638,13711,14620,15899,18270,19246,19568,21267,22756,26946,26677,29538,30650,32571,32414,33916,35449,37478,39397,41973,43844,52493,56749,58962,61326,65043,69251
Jalisco,Puerto Vallarta,Vehículos de motor registrados en circulación,6812,9230,9881,12668,15493,16112,17063,17612,17910,18967,22554,24779,26358,25325,26492,0,20704,31079,25264,26942,29891,31997,36282,40918,46514,52685,60465,67361,79456,79157,84087,88396,91895,96418,102665,109063,116587,124407,122061,129060,132496,136883,144801,154565
Jalisco,San Pedro Tlaquepaque,Vehículos de motor registrados en circulación,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53164,58262,52395,78695,64878,85022,109763,122237,138415,126065,139626,195691,210357,224489,239162,239040,256172,270991,287073,307519,326114,244779,256376,265044,275499,290179,309284
Jalisco,Sayula,Vehículos de motor registrados en circulación,986,1146,1395,1479,1741,1864,1952,2016,1895,2005,2304,2530,2708,3458,4322,3899,4132,4169,4288,4305,4773,5061,5675,5635,6180,6369,6394,7421,8315,8902,9167,9804,10394,11021,11405,11784,12233,12714,14127,14815,15442,16320,17365,18588
Jalisco,Tala,Vehículos de motor registrados en circulación,1201,1337,1806,1916,2353,2446,2663,2857,3830,4114,4342,4771,5113,6824,6628,7738,7604,7130,6102,6329,7042,8717,10067,11294,13359,13698,14102,15056,16200,16871,17786,19742,20842,21857,23770,24738,25605,28338,30126,31804,33109,34980,37035,39846
Jalisco,Talpa de Allende,Vehículos de motor registrados en circulación,0,0,0,0,0,0,0,0,0,0,0,0,0,1167,1257,1290,1324,1353,1224,1255,1560,1652,2038,2231,2303,2493,2816,2984,3432,3359,3486,3769,3888,4039,4024,4255,4302,4380,4746,5066,5387,5698,5963,6335
Jalisco,Tapalpa,Vehículos de motor registrados en circulación,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1305,1361,1353,1436,1443,1550,1763,2049,2398,2745,2939,3264,3563,3861,4112,4309,4481,4643,4495,4539,5206,5510,5818,6320,6731,7090,7557,8022,8580
Jalisco,Tecalitlan,Vehículos de motor registrados en circulación,0,0,0,0,0,0,0,0,0,0,0,0,0,2467,2621,2642,2782,2875,2994,3055,2893,3514,3476,3442,3497,3598,3922,4189,4468,4738,4762,4932,5077,5236,5478,5719,6033,6366,6479,6841,7197,7636,8078,8347
Jalisco,Tepatitlán de Morelos,Vehículos de motor registrados en circulación,4628,4980,5834,6539,7605,7635,7995,8250,7450,7892,7750,8516,9090,21252,20901,22369,19323,23714,22852,24447,29285,32074,38324,41385,43332,45651,39946,55426,66950,58989,62468,65130,65679,66874,69402,71688,74289,76875,93352,98171,102385,107510,113398,119864
Jalisco,Tequila,Vehículos de motor registrados en circulación,599,769,912,968,1235,1367,1434,2040,2721,2914,3009,3306,3542,3922,3288,4182,4315,4515,3017,4470,4986,5357,5717,6105,6476,6171,6607,7383,7942,8363,8683,8855,9060,9543,11118,11709,12340,13291,14257,15392,16299,17536,19161,20408
Jalisco,Tlajomulco de Zuniga,Vehículos de motor registrados en circulación,1112,1613,2067,2273,2574,2664,2807,2888,2770,2852,2842,3115,3375,9432,13600,8273,8748,9253,9778,10208,12680,17789,14224,17544,20904,23535,19779,23197,33319,37630,42375,46825,52821,57894,63713,73538,82479,95512,150950,162542,171910,184077,197609,216372
Jalisco,Toliman,Vehículos de motor registrados en circulación,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725,761,768,1001,1084,1287,1450,1413,1490,1649,1787,1895,1923,1996,2092,2157,2171,2266,2321,2367,2467,2682,2822,2992,3204,3381,3710
